area,item,element,year,unit,value
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",2000,TJ,348543.653248
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",2001,TJ,362706.920536
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",2002,TJ,352604.906075
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",2003,TJ,361567.872575
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",2004,TJ,367794.035302
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",2005,TJ,354257.398767
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",2006,TJ,334919.856369
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",2007,TJ,321268.772639
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",2008,TJ,338902.214805
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",2009,TJ,308648.44952
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",2010,TJ,340179.49488
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",2011,TJ,290983.944091
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",2012,TJ,317209.716209
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",2013,TJ,322222.110033
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",2014,TJ,280299.362352
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",2015,TJ,283039.91416
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",2016,TJ,241303.621955
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",2017,TJ,240499.314533
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",2018,TJ,249564.115672
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",2019,TJ,244277.055634
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",2020,TJ,238958.115476
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",2021,TJ,252253.388215
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",2022,TJ,223460.627592
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",2023,TJ,254664.927592
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),1990,TJ,59432.485041
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),1991,TJ,66429.917457
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),1992,TJ,66717.762168
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),1993,TJ,71779.56773
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),1994,TJ,58374.971331
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),1995,TJ,49344.55683
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),1996,TJ,35455.385493
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),1997,TJ,35007.318318
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),1998,TJ,27999.43713
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),1999,TJ,23980.662373
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),2000,TJ,7697.264034
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),2001,TJ,8714.853507
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),2002,TJ,6825.087226
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),2003,TJ,6515.577962
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),2004,TJ,5769.16585
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),2005,TJ,4918.231545
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),2006,TJ,4793.379109
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),2007,TJ,5601.893664
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),2008,TJ,6176.229471
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),2009,TJ,7248.275561
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),2010,TJ,6378.271368
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),2011,TJ,6348.860944
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),2012,TJ,6077.014813
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),2013,TJ,6715.915034
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),2014,TJ,7131.767772
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),2015,TJ,8003.145028
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),2016,TJ,7550.016506
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),2017,TJ,7640.710392
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),2018,TJ,7761.475825
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),2019,TJ,5857.649427
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),2020,TJ,5798.750843
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),2021,TJ,5227.620831
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),2022,TJ,4879.381778
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Coal),2023,TJ,4638.28049
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Electricity),1990,TJ,229021.887146
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Electricity),1991,TJ,237038.696622
